Country Name	Country Code	Aliens	Predators	D&D Monsters
Afghanistan	afghanistan	PAK-Headquarter	PAK-Headquarter	PAK-Headquarter
Albania	albania	DE-Headquarter	DE-Headquarter	DE-Headquarter
Algeria	algeria	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
Andorra	andorra	DE-Headquarter	DE-Headquarter	DE-Headquarter
Angola	angola	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
Argentina	argentina	ARG-Headquarter	ARG-Headquarter	ARG-Headquarter
Australia	australia	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
Austria	austria	DE-Headquarter	DE-Headquarter	DE-Headquarter
Bahrain	bahrain	UAE-Headquarter	UAE-Headquarter	UAE-Headquarter
Bangladesh	bangladesh	PAK-Headquarter	PAK-Headquarter	PAK-Headquarter
Belgium	belgium	DE-Headquarter	DE-Headquarter	DE-Headquarter
Belize	belize	MEX-Headquarter	MEX-Headquarter	MEX-Headquarter
Bermuda	bermuda	MEX-Headquarter	MEX-Headquarter	MEX-Headquarter
Bhutan	bhutan	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
Bolivia	bolivia	BRA-Headquarter	BRA-Headquarter	BRA-Headquarter
Bosnia and Herzegovina	bosnia_and_herzegovina	DE-Headquarter	DE-Headquarter	DE-Headquarter
Botswana	botswana	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
Brazil	brazil	BRA-Headquarter	BRA-Headquarter	BRA-Headquarter
Brunei	brunei	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
Bulgaria	bulgaria	DE-Headquarter	DE-Headquarter	DE-Headquarter
Cambodia	cambodia	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
Canada	canada	CAN-Headquarter	CAN-Headquarter	CAN-Headquarter
Cayman Islands	cayman_islands	MEX-Headquarter	MEX-Headquarter	MEX-Headquarter
Chile	chile	ARG-Headquarter	ARG-Headquarter	ARG-Headquarter
China	china	DE-Headquarter	DE-Headquarter	Ocean-Headquarter
